Booth_No,Location,Zone,Type,UDF_2021,LDF_2021,T20_2021,NDA_BJP_2021,UDF_2024,LDF_2024,NDA_2024,Gap_2021,Swing_2024,Verdict_2026
89,Loretto AILPS S Block W,Chullickal,A,358,341,142,0,525,153,0,17,,UDF safe
90,Loretto AILPS S Block E,Chullickal,C,286,468,121,0,515,188,0,182,229,UDF recoverable
91,Loretto AIHS New Block 2E,Chullickal,B,347,374,160,0,532,169,0,27,28,UDF flip
92,Loretto AIHS New Block 1W,Chullickal,B,331,388,166,0,532,186,0,57,58,UDF flip
93,St Anthony LPS E S Block,Chullickal,B,217,294,95,0,412,113,0,77,78,UDF flip
94,St Anthony LPS N S Block,Chullickal,C,245,380,79,0,425,161,0,135,180,UDF recoverable
95,St Anthony LPS Mid S Bldg,Chullickal,C,185,349,94,0,364,194,0,164,179,UDF recoverable
96,SVDLPS S Portion Main,Chullickal,C,178,390,57,0,262,226,0,212,84,UDF recoverable
97,SVDLPS N Portion Main,Chullickal,C,266,400,85,0,360,225,0,134,94,UDF recoverable
98,SVDLPS E Portion N Bldg,Chullickal,C,252,447,104,0,448,223,0,195,196,UDF recoverable
99,SVDLPS W Portion N Bldg,Chullickal,C,282,391,92,0,434,195,0,109,152,UDF recoverable
100,SDPY LPS N Side Main,Chullickal,C,276,513,96,0,484,290,0,237,208,UDF recoverable
101,SDPY HSS N Side Main,Chullickal,B,164,233,58,0,226,150,0,69,70,UDF flip
102,SDPY HSS Mid Main,Chullickal,C,133,341,32,0,174,237,0,208,41,LDF holds
103,St Louis LPS Mid Portion,Kumbalangi,A,326,306,253,0,621,128,0,20,,UDF safe
104,St Louis HS NW New Bldg,Kumbalangi,C,205,408,119,0,480,144,0,203,275,UDF recoverable
105,St Louis HS W New Bldg,Kumbalangi,B,308,355,168,0,517,175,0,47,48,UDF flip
106,St Louis HS 2nd W,Kumbalangi,A,355,330,195,0,595,138,0,25,,UDF safe
107,St Louis HS Mid Portion,Kumbalangi,B,330,383,184,0,530,175,0,53,54,UDF flip
108,St Louis HS 2nd E Mundamveli,Kumbalangi,B,344,347,155,0,599,126,0,3,4,UDF flip
109,St Louis HS E Portion,Kumbalangi,B,201,217,96,0,353,104,0,16,17,UDF flip
110,St Louis HS NE Portion,Kumbalangi,B,230,278,69,0,361,118,0,48,49,UDF flip
111,St Michael LPS N Bldg,Kumbalangi,A,272,195,231,0,460,138,0,77,,UDF safe
112,St Michael LPS S Bldg,Kumbalangi,A,260,242,220,0,508,128,0,18,,UDF safe
113,St Joseph Girls UPS NW Main,Kumbalangi,B,319,402,279,0,588,249,0,83,84,UDF flip
114,St Joseph Girls UPS NE Main,Kumbalangi,C,307,547,165,0,554,349,0,240,247,UDF recoverable
115,St Joseph LPS S End,Chellanam,D,228,216,444,0,524,27,315,0,,UDF holds
116,St Joseph LPS Mid Cheriyakadavu,Chellanam,D,256,338,431,0,561,46,326,0,,UDF holds
117,St Joseph LPS N Portion,Chellanam,D,230,406,498,0,557,12,335,0,,Tight 3-way
118,Chinmaya Vidyalaya Kalathara,Chellanam,B,45,88,58,0,70,76,43,0,44,NDA risk
119,St Anthony LPS W Main,Chellanam,D,167,154,282,0,359,53,236,0,,UDF holds
120,St Anthony LPS E Main,Chellanam,D,234,173,358,0,459,38,270,0,,UDF holds
121,St Mary HS Mid Main,Chellanam,D,251,250,496,0,615,29,351,0,,UDF holds
122,St Mary HS E N Bldg,Chellanam,B,234,341,282,0,495,248,107,0,,UDF recoverable
123,St Mary HS Mid SE Bldg,Chellanam,D,253,317,420,0,599,33,306,0,,UDF holds
124,Govt HSS N Tsunami,Chellanam,D,169,161,547,0,468,70,425,0,,NDA likely
125,Govt HSS S Tsunami Puthenthode,Chellanam,B,259,330,237,0,506,216,0,71,72,UDF recoverable
126,Govt HSS Mid Central,Chellanam,D,172,151,484,0,492,39,353,0,,NDA risk tight
127,Chellanam Panchayat Office,Chellanam,B,162,216,195,0,273,182,54,0,,UDF flip
128,Exodus Public School W,Chellanam,D,140,138,680,0,542,43,485,0,,NDA wins
129,Exodus Public School E,Chellanam,D,253,266,272,0,403,105,268,0,,NDA wins
130,St Mary HS N Room E Bldg,Chellanam,B,253,266,272,0,403,218,105,0,,UDF holds
131,St Mary HS E Portion Main,Chellanam,B,263,314,209,0,409,250,0,51,52,UDF flip
132,St Mary LPS NW Bldg,Chellanam,D,207,229,236,0,418,28,169,0,,UDF holds
133,Village Office Chellanam S,Chellanam,B,288,384,234,0,435,305,0,96,97,UDF recoverable
134,Village Office Chellanam N,Chellanam,D,161,161,280,0,348,22,204,0,,UDF holds
135,St George LPS S Chellanam,Chellanam,D,260,237,403,0,529,22,283,0,,UDF holds
136,St George LPS W Mid Main,Chellanam,D,299,319,368,0,586,19,258,0,,UDF holds
137,St George LPS W Main,Chellanam,B,208,232,198,0,374,163,0,24,25,UDF flip
138,Leo English Medium School,Chellanam,B,170,244,112,0,267,219,0,74,75,UDF flip
139,St Joseph LPS W Main,Kumbalangi,C,273,390,190,0,508,181,0,117,235,UDF recoverable
140,St Joseph LPS Mid Main Kumbalangi,Kumbalangi,A,361,340,157,0,552,201,0,21,,UDF safe
141,St Joseph LPS E Main Kumbalangi,Kumbalangi,B,291,359,135,0,437,245,0,68,69,UDF recoverable
142,St Joseph LPS W Main Kumbalangi N,Kumbalangi,B,247,327,109,0,338,203,0,80,81,UDF flip
143,Village Office Kumbalangi,Kumbalangi,B,328,395,149,0,512,219,0,67,68,UDF flip
144,VPYLPS Mid Main Illickal,Kumbalangi,B,396,484,173,0,538,311,0,88,89,UDF flip
145,St Peter HSS Mid Main Bldg,Kumbalangi,A,277,537,110,0,383,386,0,260,,LDF holds
146,St Peter HSS SW Bldg,Kumbalangi,A,408,362,208,0,579,215,0,46,,UDF safe
147,St Peter HSS NW Bldg,Kumbalangi,A,486,367,207,0,729,230,0,119,,UDF safe
148,St Peter HSS Mid N Bldg,Kumbalangi,B,387,402,157,0,516,264,0,15,16,UDF flip
149,OLFGHS E Main Bldg,Kumbalangi,A,439,327,153,0,591,232,0,112,,UDF safe
150,Govt UPS Mid Main Bldg,Kumbalangi,A,311,224,131,0,422,130,0,87,,UDF safe
151,Govt UPS Kumbalangi N,Kumbalangi,B,403,450,191,0,578,272,0,47,48,UDF flip
152,Govt UPS Mid N Bldg,Kumbalangi,B,250,308,140,0,394,199,0,58,59,UDF flip
153,St George LPS N Main Kumbalangi,Kumbalangi,A,338,343,178,0,462,223,0,5,,UDF safe
154,St George LPS S Main Kumbalangi,Kumbalangi,C,288,392,142,0,408,198,0,104,120,UDF recoverable
155,St George UPS NW Bldg,Kumbalangi,A,358,285,157,0,457,204,0,73,,UDF safe
156,St George LPS Annex Mid,Kumbalangi,A,306,259,143,0,409,169,0,47,,UDF safe
157,St George UPS SW Bldg,Kumbalangi,A,388,343,165,0,558,157,0,45,,UDF safe
